1.32100000e+04,8.80000000e+01,0.00000000e+00,5.80000000e+01,0.00000000e+00,8.00000000e+00,1.17000000e+02,1.00000000e+00,0.00000000e+00,0.00000000e+00,7.50000000e+01,0.00000000e+00,0.00000000e+00,7.30000000e+01,1.10000000e+02,6.90000000e+01,0.00000000e+00,2.44000000e+02,0.00000000e+00,8.50000000e+01,2.48000000e+02,2.86000000e+02,3.75000000e+02,2.10000000e+02,3.64639537e+01,1.00743718e+01,2.37283674e+01,8.96382932e+00,1.95534478e+01,1.16420876e+01,1.13337331e+01,1.84446712e+01,1.23990515e+01,1.24744748e+01,2.11773392e+01,1.37603380e+01,7.94794957e+00,2.10771453e+01,1.60220813e+01
1.60900000e+03,8.80000000e+01,0.00000000e+00,5.90000000e+01,0.00000000e+00,8.00000000e+00,1.17000000e+02,1.00000000e+00,0.00000000e+00,1.00000000e+00,7.60000000e+01,1.00000000e+00,0.00000000e+00,7.30000000e+01,1.09000000e+02,6.90000000e+01,0.00000000e+00,2.45000000e+02,0.00000000e+00,8.50000000e+01,2.48000000e+02,2.86000000e+02,3.75000000e+02,2.10000000e+02,3.64710724e+01,1.01187177e+01,2.37652431e+01,8.98502358e+00,1.94920067e+01,1.16302508e+01,1.14184118e+01,1.84279534e+01,1.23926002e+01,1.24745962e+01,2.11116673e+01,1.37264226e+01,7.94266062e+00,2.10822271e+01,1.60135593e+01
1.32900000e+03,8.80000000e+01,0.00000000e+00,5.90000000e+01,0.00000000e+00,9.00000000e+00,1.17000000e+02,1.00000000e+00,0.00000000e+00,0.00000000e+00,7.50000000e+01,1.00000000e+00,1.00000000e+00,7.30000000e+01,1.09000000e+02,6.90000000e+01,0.00000000e+00,2.45000000e+02,0.00000000e+00,8.40000000e+01,2.47000000e+02,2.86000000e+02,3.75000000e+02,2.09000000e+02,3.64691092e+01,1.01530144e+01,2.37472329e+01,9.12296651e+00,1.93642782e+01,1.15482816e+01,1.13769033e+01,1.83980978e+01,1.23974838e+01,1.26559838e+01,2.11308849e+01,1.36961592e+01,7.95256087e+00,2.11563168e+01,1.60069446e+01
1.32800000e+03,8.70000000e+01,0.00000000e+00,5.70000000e+01,0.00000000e+00,8.00000000e+00,1.17000000e+02,1.00000000e+00,0.00000000e+00,1.00000000e+00,7.50000000e+01,0.00000000e+00,0.00000000e+00,7.20000000e+01,1.09000000e+02,6.90000000e+01,0.00000000e+00,2.44000000e+02,0.00000000e+00,8.50000000e+01,2.48000000e+02,2.86000000e+02,3.75000000e+02,2.10000000e+02,3.65035007e+01,1.01530208e+01,2.37579657e+01,9.26778584e+00,1.92456976e+01,1.14550550e+01,1.13151313e+01,1.83582925e+01,1.23694209e+01,1.26457782e+01,2.10632582e+01,1.36192526e+01,7.83047432e+00,2.11383738e+01,1.60375657e+01
1.32100000e+04,8.70000000e+01,0.00000000e+00,5.70000000e+01,0.00000000e+00,9.00000000e+00,1.16000000e+02,0.00000000e+00,0.00000000e+00,1.00000000e+00,7.50000000e+01,0.00000000e+00,0.00000000e+00,7.30000000e+01,1.11000000e+02,6.80000000e+01,0.00000000e+00,2.44000000e+02,0.00000000e+00,8.40000000e+01,2.47000000e+02,2.86000000e+02,3.76000000e+02,2.10000000e+02,3.65614857e+01,1.00967832e+01,2.36781648e+01,9.35644596e+00,1.90275951e+01,1.13353265e+01,1.12824198e+01,1.81412138e+01,1.22505814e+01,1.29325963e+01,2.10535151e+01,1.35881572e+01,7.68676808e+00,2.12757266e+01,1.61753814e+01
1.32800000e+03,8.60000000e+01,0.00000000e+00,5.60000000e+01,0.00000000e+00,8.00000000e+00,1.17000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.50000000e+01,1.00000000e+00,0.00000000e+00,7.20000000e+01,1.08000000e+02,6.80000000e+01,0.00000000e+00,2.44000000e+02,0.00000000e+00,8.40000000e+01,2.47000000e+02,2.85000000e+02,3.75000000e+02,2.10000000e+02,3.65756207e+01,9.91783712e+00,2.35914212e+01,9.33124991e+00,1.93249472e+01,1.16867338e+01,1.13293186e+01,1.82938887e+01,1.24049813e+01,1.29174113e+01,2.11833356e+01,1.38055073e+01,7.84178154e+00,2.14010293e+01,1.63385576e+01
1.32100000e+04,8.60000000e+01,0.00000000e+00,5.50000000e+01,0.00000000e+00,9.00000000e+00,1.18000000e+02,1.00000000e+00,0.00000000e+00,1.00000000e+00,7.60000000e+01,1.00000000e+00,0.00000000e+00,7.00000000e+01,1.09000000e+02,6.50000000e+01,0.00000000e+00,2.44000000e+02,0.00000000e+00,8.40000000e+01,2.47000000e+02,2.86000000e+02,3.76000000e+02,2.10000000e+02,3.65704815e+01,1.01638126e+01,2.37259823e+01,9.33879211e+00,1.94807903e+01,1.17724643e+01,1.13891359e+01,1.83561455e+01,1.24034158e+01,1.27328302e+01,2.12229548e+01,1.38788897e+01,8.04630449e+00,2.14540437e+01,1.63823530e+01
1.32800000e+03,8.50000000e+01,0.00000000e+00,5.50000000e+01,0.00000000e+00,8.00000000e+00,1.18000000e+02,1.00000000e+00,0.00000000e+00,0.00000000e+00,7.50000000e+01,1.00000000e+00,0.00000000e+00,6.90000000e+01,1.10000000e+02,6.40000000e+01,0.00000000e+00,2.44000000e+02,0.00000000e+00,8.40000000e+01,2.48000000e+02,2.86000000e+02,3.75000000e+02,2.10000000e+02,3.65626311e+01,1.03253735e+01,2.39585909e+01,9.18493910e+00,1.95689577e+01,1.17588455e+01,1.12952069e+01,1.83321695e+01,1.23889234e+01,1.26371839e+01,2.11445306e+01,1.38175556e+01,8.05631340e+00,2.13326257e+01,1.62464916e+01
1.32900000e+03,8.50000000e+01,0.00000000e+00,5.60000000e+01,0.00000000e+00,1.00000000e+01,1.17000000e+02,1.00000000e+00,0.00000000e+00,0.00000000e+00,7.50000000e+01,0.00000000e+00,0.00000000e+00,6.80000000e+01,1.10000000e+02,6.30000000e+01,0.00000000e+00,2.44000000e+02,0.00000000e+00,8.40000000e+01,2.47000000e+02,2.86000000e+02,3.76000000e+02,2.10000000e+02,3.65152968e+01,1.03201942e+01,2.39742408e+01,9.17085828e+00,1.94838475e+01,1.15952244e+01,1.12333255e+01,1.83372161e+01,1.23908960e+01,1.25474644e+01,2.10783833e+01,1.37598090e+01,7.94245432e+00,2.13051262e+01,1.61716781e+01
1.32800000e+03,8.50000000e+01,0.00000000e+00,5.50000000e+01,0.00000000e+00,9.00000000e+00,1.17000000e+02,0.00000000e+00,0.00000000e+00,1.00000000e+00,7.40000000e+01,0.00000000e+00,0.00000000e+00,6.70000000e+01,1.09000000e+02,6.30000000e+01,0.00000000e+00,2.45000000e+02,0.00000000e+00,8.40000000e+01,2.48000000e+02,2.86000000e+02,3.75000000e+02,2.10000000e+02,3.64643273e+01,1.01774031e+01,2.38545444e+01,9.27294110e+00,1.93672889e+01,1.15135216e+01,1.12810794e+01,1.83372667e+01,1.23361976e+01,1.24742826e+01,2.10211234e+01,1.37172231e+01,7.87285922e+00,2.12925681e+01,1.61607493e+01
