1.50240000e+04,3.69000000e+02,9.50000000e+01,3.45000000e+02,2.00000000e+00,2.00000000e+00,1.54000000e+02,1.00000000e+00,1.00000000e+00,6.80000000e+01,1.14000000e+02,1.00000000e+00,1.00000000e+00,2.37000000e+02,1.52000000e+02,1.94000000e+02,0.00000000e+00,2.59000000e+02,0.00000000e+00,4.00000000e+00,2.00000000e+02,3.70000000e+02,4.01000000e+02,2.54000000e+02,3.62551311e+01,1.63424877e+01,3.03480390e+01,1.55436157e+01,2.96442999e+00,8.91329024e+00,1.02657100e+01,-1.91340505e+00,8.19886182e+00,8.97712670e+00,-2.47301690e+00,8.02431919e+00,6.22480852e+00,-1.35004850e+01,1.36174503e+01,-1.17156972e+01
1.33220000e+04,3.66000000e+02,9.30000000e+01,3.47000000e+02,1.00000000e+00,2.00000000e+00,1.55000000e+02,1.00000000e+00,1.00000000e+00,6.50000000e+01,1.15000000e+02,1.00000000e+00,1.00000000e+00,2.35000000e+02,1.52000000e+02,1.91000000e+02,1.00000000e+00,2.56000000e+02,0.00000000e+00,5.00000000e+00,2.01000000e+02,3.67000000e+02,4.01000000e+02,2.54000000e+02,3.62399179e+01,1.63209961e+01,3.03259198e+01,1.57060147e+01,3.16519550e+00,8.97431448e+00,1.03196721e+01,-1.84969341e+00,8.22174648e+00,9.04951789e+00,-2.38625205e+00,8.03325891e+00,6.28996414e+00,-1.34095062e+01,1.35651975e+01,-1.17084880e+01
1.32220000e+04,3.66000000e+02,8.90000000e+01,3.43000000e+02,1.00000000e+00,3.00000000e+00,1.54000000e+02,1.00000000e+00,1.00000000e+00,5.30000000e+01,1.15000000e+02,1.00000000e+00,1.00000000e+00,2.34000000e+02,1.53000000e+02,1.91000000e+02,1.00000000e+00,2.58000000e+02,1.00000000e+00,5.00000000e+00,2.01000000e+02,3.68000000e+02,4.05000000e+02,2.57000000e+02,3.62141556e+01,1.62879090e+01,3.02894498e+01,1.60636664e+01,3.60734209e+00,9.01121640e+00,1.03723029e+01,-1.78755352e+00,8.23043555e+00,9.08192884e+00,-2.34740573e+00,8.02698830e+00,6.31047567e+00,-1.33808654e+01,1.35446563e+01,-1.16749552e+01
1.61190000e+04,3.67000000e+02,8.90000000e+01,3.43000000e+02,1.00000000e+00,3.00000000e+00,1.59000000e+02,2.00000000e+00,1.00000000e+00,5.20000000e+01,1.16000000e+02,2.00000000e+00,1.00000000e+00,2.36000000e+02,1.51000000e+02,1.86000000e+02,1.00000000e+00,2.57000000e+02,1.00000000e+00,5.00000000e+00,2.00000000e+02,3.67000000e+02,4.03000000e+02,2.56000000e+02,3.61998131e+01,1.62739043e+01,3.02891167e+01,1.63047824e+01,3.90542148e+00,8.99104804e+00,1.04245910e+01,-1.72581827e+00,8.21631262e+00,9.12819792e+00,-2.29194967e+00,8.01371303e+00,6.34468846e+00,-1.33330930e+01,1.35326212e+01,-1.16619129e+01
1.32220000e+04,3.66000000e+02,9.00000000e+01,3.44000000e+02,1.00000000e+00,3.00000000e+00,1.55000000e+02,1.00000000e+00,1.00000000e+00,4.50000000e+01,1.11000000e+02,1.00000000e+00,1.00000000e+00,2.35000000e+02,1.51000000e+02,1.90000000e+02,1.00000000e+00,2.60000000e+02,0.00000000e+00,4.00000000e+00,2.01000000e+02,3.69000000e+02,4.04000000e+02,2.57000000e+02,3.62071016e+01,1.62678801e+01,3.02828899e+01,1.65955575e+01,4.26489187e+00,9.00560131e+00,1.03611435e+01,-1.80072908e+00,8.24060738e+00,9.07610247e+00,-2.35438896e+00,8.03843861e+00,6.38349761e+00,-1.32789026e+01,1.35807954e+01,-1.16169832e+01
1.60190000e+04,3.65000000e+02,8.30000000e+01,3.43000000e+02,1.00000000e+00,3.00000000e+00,1.54000000e+02,1.00000000e+00,1.00000000e+00,4.00000000e+01,1.15000000e+02,1.00000000e+00,1.00000000e+00,2.37000000e+02,1.54000000e+02,1.88000000e+02,1.00000000e+00,2.61000000e+02,1.00000000e+00,6.00000000e+00,2.00000000e+02,3.70000000e+02,4.00000000e+02,2.52000000e+02,3.62402150e+01,1.63369985e+01,3.04219075e+01,1.66596197e+01,4.34408861e+00,9.07246516e+00,1.02610985e+01,-1.91884979e+00,8.30086416e+00,9.08764316e+00,-2.34055680e+00,8.09889969e+00,6.37718689e+00,-1.32877144e+01,1.36515352e+01,-1.15653761e+01
1.60200000e+04,3.64000000e+02,8.80000000e+01,3.42000000e+02,1.00000000e+00,5.00000000e+00,1.55000000e+02,1.00000000e+00,1.00000000e+00,3.60000000e+01,1.16000000e+02,2.00000000e+00,1.00000000e+00,2.33000000e+02,1.52000000e+02,1.84000000e+02,1.00000000e+00,2.57000000e+02,0.00000000e+00,5.00000000e+00,2.01000000e+02,3.67000000e+02,4.03000000e+02,2.55000000e+02,3.62916337e+01,1.63785918e+01,3.05051142e+01,1.63591053e+01,3.97257811e+00,9.13722036e+00,1.00882201e+01,-2.12296305e+00,8.45278526e+00,9.01403648e+00,-2.42877848e+00,8.20313300e+00,6.34351048e+00,-1.33347378e+01,1.36896125e+01,-1.15644210e+01
1.32200000e+04,3.68000000e+02,8.60000000e+01,3.44000000e+02,2.00000000e+00,8.00000000e+00,1.50000000e+02,1.00000000e+00,1.00000000e+00,1.20000000e+01,1.13000000e+02,1.00000000e+00,1.00000000e+00,2.23000000e+02,1.54000000e+02,1.74000000e+02,1.00000000e+00,2.60000000e+02,1.00000000e+00,8.00000000e+00,2.01000000e+02,3.69000000e+02,4.02000000e+02,2.58000000e+02,3.63024899e+01,1.63415042e+01,3.05488946e+01,1.59893594e+01,3.51548010e+00,9.25930071e+00,9.89706354e+00,-2.34865690e+00,8.75028678e+00,8.86613570e+00,-2.60604575e+00,8.35974582e+00,6.35129788e+00,-1.33238641e+01,1.36935357e+01,-1.15686612e+01
1.32170000e+04,3.66000000e+02,8.40000000e+01,3.43000000e+02,2.00000000e+00,1.20000000e+01,1.52000000e+02,2.00000000e+00,1.00000000e+00,1.00000000e+00,1.20000000e+02,1.00000000e+00,1.00000000e+00,2.10000000e+02,1.56000000e+02,1.63000000e+02,1.00000000e+00,2.67000000e+02,1.00000000e+00,1.80000000e+01,2.00000000e+02,3.69000000e+02,4.05000000e+02,2.52000000e+02,3.63057197e+01,1.62385870e+01,3.05853435e+01,1.59560301e+01,3.47427676e+00,9.32799578e+00,9.89200578e+00,-2.35462847e+00,8.93024839e+00,8.85133470e+00,-2.62378558e+00,8.57349798e+00,6.33075979e+00,-1.33525420e+01,1.37273223e+01,-1.16065321e+01
1.32150000e+04,3.63000000e+02,8.40000000e+01,3.45000000e+02,1.00000000e+00,2.10000000e+01,1.57000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.24000000e+02,2.00000000e+00,1.00000000e+00,1.88000000e+02,1.58000000e+02,1.43000000e+02,1.00000000e+00,2.73000000e+02,0.00000000e+00,3.30000000e+01,2.00000000e+02,3.69000000e+02,4.03000000e+02,2.53000000e+02,3.62761119e+01,1.60921744e+01,3.04795816e+01,1.65254360e+01,4.17820415e+00,9.67438426e+00,1.00985509e+01,-2.11076573e+00,9.09844332e+00,8.83467764e+00,-2.64374999e+00,8.62398790e+00,6.43928969e+00,-1.32009984e+01,1.37098848e+01,-1.16360126e+01
1.32160000e+04,3.65000000e+02,9.10000000e+01,3.46000000e+02,1.00000000e+00,3.10000000e+01,1.59000000e+02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.21000000e+02,1.00000000e+00,1.00000000e+00,1.77000000e+02,1.57000000e+02,1.35000000e+02,1.00000000e+00,2.76000000e+02,0.00000000e+00,4.60000000e+01,2.00000000e+02,3.68000000e+02,4.03000000e+02,2.57000000e+02,3.62423631e+01,1.58740590e+01,3.05823046e+01,1.77823995e+01,5.73212389e+00,1.04621122e+01,1.04971819e+01,-1.64011195e+00,9.63134361e+00,8.43062910e+00,-3.12802452e+00,9.05859554e+00,6.38000382e+00,-1.32837811e+01,1.39586023e+01,-1.17013687e+01
